name,abbreviation,max_faculty_capacity,current_number_of_faculty,academic_division
Physics,EENG,93,10,Arts
Mathematics,MATH,90,16,Science
Computer Science,EENG,71,18,Science
Physics,EENG,47,13,Arts
Computer Science,MATH,24,18,Engineering
Electrical Engineering,ART,65,10,Arts
Art,ENG,65,7,Arts
Computer Science,MATH,99,12,Engineering
Computer Science,EENG,62,19,Science
Computer Science,MATH,64,5,Engineering
English,EENG,49,8,Science
Mathematics,EENG,67,19,Arts
Art,PHYS,36,10,Science
Electrical Engineering,EENG,47,19,Engineering
Mathematics,ART,65,11,Arts
Electrical Engineering,ART,80,15,Engineering
Computer Science,MATH,21,14,Engineering
Physics,MATH,44,20,Arts
Computer Science,ENG,62,12,Engineering
Physics,CS,43,9,Arts
Computer Science,EENG,22,18,Arts
Mathematics,ART,62,20,Science
Computer Science,CS,78,5,Science
Electrical Engineering,EENG,35,11,Arts
English,ENG,71,10,Science
Mathematics,ART,92,11,Science
Electrical Engineering,PHYS,92,11,Engineering
Mathematics,PHYS,40,15,Engineering
Art,CS,64,15,Arts
English,EENG,31,5,Engineering
Physics,ENG,45,7,Engineering
English,CS,28,12,Engineering
Mathematics,ART,47,16,Science
Electrical Engineering,EENG,30,14,Engineering
Physics,ART,39,7,Arts
Mathematics,EENG,36,10,Science
Computer Science,ART,57,16,Science
Electrical Engineering,ART,71,12,Science
Physics,PHYS,40,19,Engineering
Art,ART,72,5,Arts
Physics,PHYS,67,8,Arts
Art,ENG,22,7,Engineering
English,PHYS,27,12,Arts
Physics,CS,69,16,Science
Physics,MATH,91,9,Science
Physics,ENG,97,5,Arts
Computer Science,ART,77,5,Science
English,EENG,92,11,Arts
Art,PHYS,39,16,Science
Physics,PHYS,59,7,Arts
Physics,ENG,52,20,Arts
Art,CS,63,14,Arts
Mathematics,ART,91,5,Arts
English,MATH,80,20,Engineering
Computer Science,MATH,46,12,Arts
Mathematics,PHYS,29,15,Engineering
Physics,ART,100,18,Engineering
Electrical Engineering,CS,35,10,Science
English,CS,65,18,Science
Physics,ENG,93,17,Science
Physics,PHYS,73,16,Arts
Mathematics,ART,42,18,Arts
Physics,CS,86,13,Science
Art,ENG,96,11,Arts
Computer Science,ENG,81,19,Arts
Computer Science,EENG,98,12,Engineering
Art,EENG,59,14,Arts
English,ENG,38,11,Arts
Electrical Engineering,PHYS,38,6,Engineering
English,EENG,33,9,Science
Mathematics,CS,53,9,Arts
Mathematics,CS,66,5,Engineering
Electrical Engineering,EENG,68,16,Arts
Art,PHYS,68,19,Arts
Mathematics,PHYS,76,20,Science
Physics,ENG,42,9,Science
Mathematics,CS,82,17,Engineering
Physics,ART,67,5,Arts
Computer Science,ART,81,11,Science
Physics,MATH,91,12,Engineering
Physics,CS,70,16,Arts
English,EENG,68,17,Arts
English,EENG,22,20,Arts
Art,PHYS,64,18,Science
English,MATH,84,18,Engineering
Art,ENG,39,7,Engineering
Art,MATH,75,8,Engineering
Physics,CS,49,5,Arts
Art,CS,84,20,Arts
Art,ENG,42,7,Engineering
Computer Science,CS,21,13,Science
Physics,ENG,68,12,Arts
Computer Science,CS,22,12,Arts
Computer Science,MATH,32,13,Arts
Computer Science,ART,29,17,Arts
Electrical Engineering,CS,36,14,Science
English,CS,43,19,Arts
Computer Science,EENG,94,12,Arts
Physics,MATH,52,9,Engineering
Art,ENG,29,17,Engineering
Electrical Engineering,ART,94,13,Engineering
Mathematics,CS,80,15,Science
Electrical Engineering,PHYS,28,16,Arts
English,EENG,94,17,Arts
Computer Science,CS,68,6,Science
Computer Science,EENG,61,6,Arts
Electrical Engineering,PHYS,97,18,Engineering
English,CS,69,17,Engineering
English,ART,34,14,Science
Electrical Engineering,MATH,84,20,Arts
English,EENG,95,8,Arts
Computer Science,PHYS,28,5,Science
Physics,CS,69,6,Arts
Mathematics,MATH,91,9,Arts
Computer Science,MATH,91,16,Arts
English,CS,58,5,Engineering
Physics,MATH,41,12,Science
Computer Science,CS,28,20,Arts
Mathematics,EENG,25,18,Science
Electrical Engineering,EENG,66,14,Arts
Electrical Engineering,MATH,66,17,Engineering
Electrical Engineering,MATH,64,19,Engineering
English,PHYS,63,17,Science
Art,EENG,74,13,Science
Mathematics,ENG,39,18,Arts
Physics,ENG,21,6,Science
Computer Science,ENG,71,6,Arts
Computer Science,ENG,75,11,Engineering
Mathematics,CS,58,13,Engineering
Electrical Engineering,EENG,70,12,Science
English,PHYS,46,19,Science
English,EENG,86,9,Arts
Computer Science,MATH,21,11,Engineering
Mathematics,CS,78,11,Engineering
Electrical Engineering,CS,48,14,Engineering
Art,CS,91,10,Engineering
Electrical Engineering,EENG,85,16,Science
Electrical Engineering,CS,68,8,Arts
Art,EENG,55,18,Arts
English,ART,98,13,Science
Computer Science,ENG,98,5,Engineering
Art,ENG,61,13,Engineering
Computer Science,ENG,67,16,Engineering
Physics,EENG,70,17,Science
Computer Science,ART,55,8,Engineering
Art,MATH,32,7,Engineering
Mathematics,PHYS,98,10,Engineering
Electrical Engineering,EENG,90,9,Science
Electrical Engineering,PHYS,82,17,Arts
Art,ENG,99,15,Arts
Physics,MATH,35,14,Engineering
Physics,PHYS,34,20,Science
Mathematics,MATH,30,5,Arts
English,PHYS,51,17,Science
Physics,CS,81,12,Engineering
Physics,EENG,30,18,Science
English,MATH,58,6,Arts
Computer Science,ENG,54,8,Engineering
Mathematics,EENG,43,12,Science
Art,MATH,81,16,Engineering
Mathematics,MATH,82,10,Arts
Mathematics,ART,99,14,Engineering
Physics,MATH,47,20,Science
Physics,ENG,32,10,Science
Physics,EENG,62,19,Arts
Art,MATH,34,13,Engineering
Computer Science,MATH,44,17,Engineering
Electrical Engineering,ART,100,19,Arts
Mathematics,CS,58,7,Arts
Mathematics,ART,70,6,Arts
Mathematics,PHYS,38,15,Science
English,ENG,45,14,Science
Physics,MATH,38,10,Science
Art,ENG,87,19,Science
Electrical Engineering,MATH,85,12,Engineering
Physics,ENG,91,19,Science
Mathematics,MATH,53,16,Arts
English,EENG,64,12,Arts
Art,CS,33,11,Arts
Physics,EENG,67,20,Arts
Art,CS,28,9,Engineering
Computer Science,EENG,55,10,Science
Mathematics,CS,80,9,Engineering
Computer Science,CS,94,19,Engineering
Electrical Engineering,EENG,55,19,Arts
Art,ENG,89,12,Engineering
Mathematics,PHYS,47,8,Arts
Art,MATH,35,7,Science
Physics,ART,98,13,Arts
Art,EENG,93,13,Science
Physics,EENG,45,13,Science
Computer Science,PHYS,62,5,Science
Computer Science,PHYS,22,10,Arts
Art,MATH,41,5,Engineering
Electrical Engineering,ART,54,6,Engineering
Physics,MATH,72,12,Engineering
Physics,CS,28,15,Arts
Electrical Engineering,EENG,82,11,Arts
Computer Science,PHYS,91,5,Science
Mathematics,MATH,23,13,Arts
Physics,CS,26,7,Engineering
English,ENG,62,7,Engineering
Art,PHYS,90,18,Engineering
Mathematics,ART,26,5,Arts
Electrical Engineering,PHYS,54,8,Arts
Physics,MATH,42,11,Arts
Electrical Engineering,PHYS,65,11,Engineering
Electrical Engineering,EENG,56,18,Arts
Art,ENG,80,20,Science
Physics,CS,34,15,Science
Mathematics,MATH,75,13,Engineering
Mathematics,EENG,92,6,Engineering
Art,MATH,95,6,Arts
Computer Science,EENG,57,6,Science
Mathematics,ENG,55,16,Engineering
Mathematics,CS,57,11,Arts
Art,MATH,25,16,Arts
Electrical Engineering,ENG,29,9,Science
English,PHYS,31,19,Engineering
Physics,CS,99,16,Arts
Physics,CS,47,19,Science
English,ART,98,19,Arts
Electrical Engineering,CS,21,16,Engineering
Art,ART,38,19,Arts
Art,MATH,56,15,Arts
Art,CS,90,7,Arts
English,PHYS,69,17,Arts
Computer Science,PHYS,47,19,Science
Mathematics,ENG,60,12,Engineering
Computer Science,MATH,66,13,Engineering
English,CS,69,18,Engineering
Physics,MATH,79,20,Engineering
Electrical Engineering,CS,31,14,Science
English,PHYS,96,10,Science
English,MATH,57,10,Science
Computer Science,PHYS,75,6,Science
Mathematics,ART,98,19,Engineering
Physics,PHYS,97,6,Science
English,ART,26,20,Arts
Art,ENG,22,13,Arts
Electrical Engineering,MATH,83,16,Arts
Computer Science,PHYS,49,14,Science
Computer Science,ART,25,14,Science
Mathematics,ART,100,6,Arts
Computer Science,CS,55,10,Engineering
English,CS,36,19,Engineering
Electrical Engineering,ART,89,15,Arts
Computer Science,EENG,98,11,Arts
Art,PHYS,25,19,Science
Mathematics,MATH,60,16,Science
Electrical Engineering,ART,72,12,Science
English,EENG,74,10,Science
Mathematics,EENG,57,15,Engineering
Mathematics,EENG,83,14,Engineering
Physics,PHYS,28,16,Arts
English,CS,76,12,Arts
English,EENG,49,12,Arts
Computer Science,MATH,93,17,Engineering
Physics,CS,88,7,Engineering
English,CS,38,14,Engineering
Art,ART,92,6,Arts
Mathematics,MATH,82,6,Science
Electrical Engineering,PHYS,38,10,Science
Physics,ENG,64,13,Science
English,EENG,66,16,Science
Art,ENG,67,17,Science
Electrical Engineering,ART,78,10,Engineering
Art,ENG,38,7,Arts
Computer Science,PHYS,100,14,Arts
Computer Science,CS,29,17,Science
Mathematics,EENG,27,18,Engineering
Mathematics,MATH,25,15,Science
Art,ART,85,18,Engineering
Computer Science,MATH,34,13,Arts
English,ENG,78,18,Engineering
Electrical Engineering,EENG,83,13,Arts
Art,PHYS,96,9,Science
Computer Science,PHYS,49,11,Arts
Mathematics,EENG,74,6,Science
Computer Science,EENG,72,9,Engineering
Art,ENG,32,14,Engineering
Mathematics,ENG,31,8,Engineering
Mathematics,PHYS,90,15,Science
Electrical Engineering,EENG,81,17,Engineering
Art,ENG,56,12,Science
Electrical Engineering,MATH,69,19,Arts
Mathematics,MATH,90,8,Arts
Art,ART,83,18,Engineering
Mathematics,ART,63,9,Engineering
Electrical Engineering,CS,34,20,Science
English,PHYS,71,18,Science
English,CS,84,16,Engineering
English,PHYS,42,9,Engineering
Physics,ENG,79,17,Arts
Electrical Engineering,CS,42,6,Arts
English,ENG,20,18,Engineering
Electrical Engineering,ART,29,12,Science
Art,EENG,32,14,Arts
English,CS,27,20,Arts
Physics,PHYS,100,10,Science
Mathematics,PHYS,25,17,Engineering
Art,CS,27,15,Arts
Art,ART,36,13,Arts
Electrical Engineering,PHYS,25,8,Science
English,EENG,91,6,Science
Electrical Engineering,PHYS,33,6,Science
Electrical Engineering,EENG,98,7,Science
Mathematics,MATH,30,14,Engineering
Art,ENG,82,9,Science
Computer Science,MATH,37,18,Arts
Electrical Engineering,PHYS,67,5,Engineering
Computer Science,ART,87,10,Engineering
Physics,ART,90,16,Science
Mathematics,ENG,70,6,Engineering
Mathematics,ENG,42,18,Arts
Art,ENG,36,8,Engineering
Art,MATH,28,14,Arts
Mathematics,ART,85,11,Arts
Mathematics,CS,96,15,Arts
Computer Science,ART,53,20,Arts
Art,PHYS,51,15,Science
Mathematics,EENG,35,11,Engineering
Mathematics,ENG,43,18,Science
Computer Science,CS,38,12,Science
Electrical Engineering,ENG,87,16,Science
Electrical Engineering,ART,33,7,Arts
Physics,EENG,34,16,Engineering
Mathematics,CS,79,16,Engineering
Computer Science,MATH,35,14,Engineering
Physics,PHYS,51,7,Arts
Art,PHYS,43,18,Arts
Art,ENG,23,13,Science
Electrical Engineering,EENG,80,15,Engineering
Mathematics,ENG,21,12,Arts
Computer Science,ENG,55,11,Science
Physics,CS,33,20,Science
Computer Science,PHYS,34,18,Engineering
Computer Science,MATH,31,6,Engineering
Mathematics,ART,51,20,Science
Electrical Engineering,EENG,38,20,Arts
Computer Science,EENG,27,14,Arts
Mathematics,PHYS,52,16,Engineering
Physics,ART,72,5,Arts
Computer Science,CS,82,7,Engineering
Computer Science,MATH,42,20,Engineering
Physics,CS,55,5,Science
Electrical Engineering,MATH,33,7,Engineering
English,PHYS,31,10,Science
Mathematics,ENG,36,10,Engineering
Physics,EENG,64,19,Engineering
Art,ENG,40,8,Engineering
Art,PHYS,79,6,Engineering
Physics,ENG,37,5,Science
Art,CS,90,5,Engineering
Art,ART,82,9,Engineering
Electrical Engineering,ART,36,16,Science
Art,CS,94,16,Engineering
Electrical Engineering,CS,47,9,Arts
Computer Science,PHYS,45,7,Arts
Physics,MATH,47,14,Science
Electrical Engineering,CS,36,12,Engineering
Physics,CS,27,11,Science
English,MATH,28,17,Science
Computer Science,ART,47,15,Science
English,ENG,81,18,Science
English,PHYS,83,19,Arts
Art,CS,57,11,Engineering
Computer Science,CS,83,18,Science
Physics,PHYS,70,16,Arts
Computer Science,PHYS,94,5,Arts
Art,PHYS,39,13,Science
English,MATH,47,14,Science
English,CS,42,20,Science
Electrical Engineering,CS,76,9,Arts
Physics,ENG,63,10,Arts
Computer Science,MATH,38,13,Science
Computer Science,ENG,62,5,Arts
Computer Science,EENG,96,17,Engineering
Electrical Engineering,PHYS,73,17,Engineering
Computer Science,PHYS,52,9,Arts
Art,ART,24,16,Science
Physics,ART,51,19,Science
Physics,CS,89,6,Arts
English,EENG,55,13,Engineering
Computer Science,PHYS,98,10,Arts
Physics,PHYS,56,8,Engineering
Computer Science,ENG,66,7,Science
English,CS,52,20,Arts
Electrical Engineering,PHYS,38,14,Arts
Computer Science,CS,100,14,Engineering
Art,ENG,45,15,Engineering
English,ART,70,6,Science
Computer Science,CS,95,7,Arts
Mathematics,CS,88,16,Science
English,ENG,51,8,Science
English,CS,67,9,Arts
English,ART,64,19,Arts
Mathematics,ENG,82,7,Science
English,ENG,85,9,Science
Computer Science,ENG,36,12,Arts
Computer Science,PHYS,85,9,Science
Mathematics,PHYS,75,19,Arts
Physics,ENG,69,20,Science
Mathematics,ENG,70,6,Arts
Art,ART,78,16,Science
Physics,PHYS,69,16,Arts
Electrical Engineering,CS,35,10,Science
English,EENG,55,13,Science
Electrical Engineering,MATH,31,16,Science
Physics,PHYS,54,10,Arts
Mathematics,PHYS,100,7,Engineering
Art,PHYS,35,11,Arts
Electrical Engineering,EENG,80,13,Arts
Art,CS,26,17,Engineering
Art,PHYS,30,17,Science
Computer Science,EENG,75,20,Arts
English,MATH,30,14,Arts
Art,EENG,65,9,Arts
Physics,PHYS,75,10,Arts
Physics,CS,24,15,Science
Mathematics,ENG,56,7,Engineering
Art,ENG,20,14,Arts
Art,MATH,53,6,Science
Art,CS,44,14,Science
English,ART,78,14,Engineering
Mathematics,ART,77,20,Engineering
Mathematics,PHYS,94,10,Arts
Mathematics,EENG,77,14,Engineering
Art,EENG,59,6,Science
Physics,PHYS,75,14,Science
Mathematics,MATH,59,8,Science
Electrical Engineering,EENG,29,20,Engineering
Electrical Engineering,ENG,74,19,Engineering
Physics,CS,99,17,Engineering
English,PHYS,76,9,Science
English,CS,29,6,Arts
Computer Science,ART,87,7,Arts
English,MATH,53,18,Engineering
Art,PHYS,84,13,Science
Physics,EENG,28,8,Science
Physics,ART,26,15,Arts
Art,CS,44,5,Science
Physics,MATH,99,6,Arts
Art,MATH,92,6,Arts
Physics,PHYS,20,8,Science
Mathematics,PHYS,35,13,Arts
Physics,PHYS,65,15,Arts
Electrical Engineering,ART,52,9,Science
English,PHYS,75,12,Arts
Computer Science,ENG,32,9,Science
Mathematics,CS,97,7,Science
Computer Science,ENG,97,16,Arts
Electrical Engineering,ART,43,18,Arts
Physics,ENG,24,12,Engineering
English,EENG,52,7,Science
Electrical Engineering,ENG,94,7,Engineering
Electrical Engineering,ENG,73,14,Engineering
Computer Science,MATH,92,12,Science
Art,CS,30,17,Science
Physics,CS,72,17,Engineering
Art,ART,92,13,Engineering
Electrical Engineering,ENG,90,10,Science
Electrical Engineering,EENG,83,17,Engineering
Art,EENG,51,9,Engineering
Mathematics,MATH,82,13,Arts
Physics,MATH,28,13,Science
Art,PHYS,98,11,Engineering
Electrical Engineering,CS,70,10,Arts
Art,EENG,73,5,Science
Mathematics,EENG,25,10,Engineering
English,EENG,39,8,Engineering
Mathematics,ENG,90,19,Arts
Computer Science,ENG,21,11,Engineering
Art,PHYS,74,5,Engineering
Electrical Engineering,CS,77,20,Science
Computer Science,CS,73,20,Arts
Art,ENG,34,20,Arts
Computer Science,ART,34,14,Engineering
Art,PHYS,62,5,Arts
Electrical Engineering,EENG,69,6,Science
Physics,PHYS,75,8,Science
Physics,CS,60,15,Science
Physics,MATH,52,6,Science
English,EENG,34,9,Engineering
English,ENG,92,18,Science
Computer Science,ENG,37,7,Science
Art,EENG,48,13,Science
Mathematics,ART,35,15,Science
Mathematics,PHYS,69,20,Science
English,ENG,57,17,Arts
Art,PHYS,76,13,Arts
Computer Science,CS,89,19,Engineering
Mathematics,PHYS,61,7,Engineering
Electrical Engineering,ART,82,19,Engineering
Computer Science,MATH,66,9,Engineering
Computer Science,PHYS,37,17,Engineering
Mathematics,CS,46,19,Engineering
Art,ENG,69,17,Engineering
Art,MATH,25,11,Engineering
Mathematics,EENG,36,16,Engineering
Art,MATH,91,5,Science
English,EENG,76,19,Arts
Computer Science,ART,56,17,Arts
English,MATH,82,16,Science
English,CS,26,11,Science
English,PHYS,38,13,Engineering
Computer Science,CS,93,12,Science
Physics,CS,94,17,Arts
English,CS,77,12,Science
Electrical Engineering,ENG,99,10,Arts
Computer Science,PHYS,73,16,Arts
Computer Science,PHYS,24,18,Arts
Physics,MATH,85,16,Engineering
Art,ART,31,6,Science
English,ART,36,13,Arts
Mathematics,MATH,58,12,Engineering
Electrical Engineering,CS,22,13,Engineering
Mathematics,ENG,49,20,Science
English,PHYS,98,12,Science
English,CS,84,9,Science
Computer Science,EENG,86,12,Science
Electrical Engineering,MATH,88,11,Arts
Art,ART,56,20,Science
Physics,ART,25,14,Engineering
Art,PHYS,51,14,Arts
Art,PHYS,89,20,Science
English,ART,64,14,Engineering
Electrical Engineering,ENG,27,14,Engineering
Mathematics,MATH,20,7,Engineering
Mathematics,ART,89,15,Engineering
Physics,PHYS,49,11,Arts
Physics,EENG,62,5,Arts
Computer Science,CS,72,13,Science
English,PHYS,26,9,Science
Mathematics,ENG,85,13,Arts
Mathematics,EENG,85,9,Science
Physics,ENG,89,14,Science
English,MATH,31,14,Science
Electrical Engineering,MATH,76,18,Arts
Computer Science,ENG,37,20,Arts
Mathematics,CS,23,19,Engineering
Art,CS,31,9,Arts
Computer Science,CS,36,19,Science
English,MATH,72,12,Science
English,EENG,75,16,Science
Computer Science,ENG,66,11,Arts
Art,EENG,69,9,Science
Art,PHYS,21,12,Engineering
English,EENG,75,6,Engineering
Physics,ENG,56,13,Engineering
Mathematics,PHYS,72,12,Arts
Mathematics,MATH,66,14,Science
English,EENG,41,15,Engineering
Art,ENG,37,15,Arts
Physics,ART,28,10,Arts
Physics,EENG,39,8,Science
Physics,MATH,66,6,Science
Physics,ART,64,8,Arts
English,EENG,90,11,Engineering
Art,EENG,72,10,Science
Computer Science,EENG,25,18,Engineering
Computer Science,PHYS,41,15,Science
Electrical Engineering,EENG,77,6,Engineering
Electrical Engineering,PHYS,46,8,Arts
Electrical Engineering,ART,41,12,Science
Art,MATH,20,15,Science
Electrical Engineering,CS,36,12,Engineering
Physics,EENG,69,15,Science
English,EENG,75,9,Arts
Mathematics,PHYS,23,13,Engineering
Physics,ART,40,12,Science
Mathematics,EENG,72,5,Science
Art,PHYS,79,19,Science
English,ENG,31,5,Engineering
Electrical Engineering,MATH,50,15,Engineering
English,PHYS,94,13,Science
Mathematics,EENG,83,5,Arts
English,MATH,40,20,Arts
Computer Science,ART,28,14,Arts
Physics,ART,33,8,Arts
Physics,ART,76,12,Science
Physics,CS,93,12,Arts
Art,MATH,72,11,Arts
Physics,MATH,34,6,Engineering
Mathematics,ART,49,18,Science
Mathematics,ENG,72,7,Arts
Computer Science,ENG,21,18,Arts
English,CS,48,9,Engineering
Computer Science,EENG,60,6,Arts
English,MATH,60,14,Engineering
Computer Science,ENG,70,13,Engineering
English,CS,66,18,Engineering
Computer Science,CS,53,14,Engineering
Computer Science,ART,58,10,Science
Electrical Engineering,PHYS,90,8,Science
Art,EENG,93,6,Arts
Computer Science,ENG,85,18,Science
English,PHYS,86,6,Engineering
Electrical Engineering,CS,90,9,Science
Physics,EENG,62,14,Engineering
English,ENG,80,19,Arts
Computer Science,ART,99,10,Engineering
Art,EENG,35,9,Science
Mathematics,ENG,34,20,Engineering
English,MATH,41,19,Arts
English,CS,77,18,Science
Mathematics,ENG,48,7,Engineering
Electrical Engineering,PHYS,72,13,Arts
Computer Science,CS,67,19,Arts
Electrical Engineering,MATH,50,19,Engineering
English,ENG,99,17,Engineering
Electrical Engineering,CS,99,11,Engineering
Computer Science,ART,68,11,Engineering
Art,ART,26,20,Arts
Computer Science,CS,42,9,Arts
Physics,EENG,36,9,Science
Physics,CS,23,17,Engineering
Art,MATH,37,11,Engineering
Physics,ART,94,8,Arts
English,EENG,79,14,Engineering
Electrical Engineering,CS,91,8,Engineering
Mathematics,ENG,89,8,Engineering
Physics,ENG,28,7,Engineering
English,ART,67,18,Arts
Computer Science,PHYS,60,15,Engineering
Physics,ART,49,18,Arts
Art,ENG,100,10,Engineering
Art,ENG,53,17,Science
Mathematics,MATH,25,9,Arts
Physics,MATH,45,14,Arts
Physics,ENG,38,8,Engineering
Physics,ART,57,16,Science
English,EENG,72,14,Arts
English,MATH,88,8,Arts
Mathematics,CS,80,14,Science
Physics,ART,27,17,Arts
English,ENG,52,5,Engineering
Mathematics,ART,43,9,Arts
Art,MATH,73,15,Science
English,ART,96,11,Arts
English,MATH,79,9,Engineering
Electrical Engineering,MATH,41,8,Science
Electrical Engineering,ENG,82,6,Engineering
Electrical Engineering,CS,48,19,Engineering
Art,ENG,23,15,Arts
English,EENG,40,10,Science
English,CS,64,9,Arts
Mathematics,ART,32,6,Engineering
Art,ENG,49,5,Arts
Mathematics,MATH,84,12,Engineering
English,MATH,89,18,Science
Art,ART,22,10,Arts
Physics,ART,75,10,Engineering
English,PHYS,39,10,Arts
Art,MATH,60,10,Engineering
Physics,PHYS,61,13,Arts
Mathematics,PHYS,30,12,Science
