letter_id,offer_or_rejection,job,start_date,next_steps,rejection_date,denial_reason
56,Rejection,Professor,2021-08-09 14:17:56,Awaiting Response,2017-10-20 13:18:42,Not Qualified
57,Rejection,Associate Professor,2002-12-19 14:30:33,Awaiting Response,2019-11-10 16:45:19,Position Filled
58,Offer,Assistant Professor,2023-06-01 08:58:45,Awaiting Response,2004-11-07 08:10:15,Not Qualified
59,Offer,Associate Professor,2006-01-25 03:36:11,Awaiting Response,2009-04-06 10:38:20,Incomplete Application
60,Rejection,Associate Professor,2006-02-06 23:20:02,Awaiting Response,2002-03-03 16:44:02,Incomplete Application
61,Offer,Associate Professor,2009-10-26 23:21:01,Awaiting Response,2019-11-12 18:05:46,Not Qualified
62,Offer,Assistant Professor,2006-06-25 23:12:26,Awaiting Response,2016-11-28 05:47:39,Incomplete Application
63,Offer,Professor,2009-11-18 15:08:44,Awaiting Response,2023-04-18 13:08:19,Not Qualified
64,Rejection,Associate Professor,2015-09-10 03:53:41,Awaiting Response,2007-08-06 16:20:14,Not Qualified
65,Rejection,Assistant Professor,2021-02-11 01:13:59,Awaiting Response,2023-06-08 14:48:33,Not Qualified
66,Offer,Associate Professor,2005-07-11 09:43:03,Awaiting Response,2012-06-23 12:58:06,Position Filled
67,Offer,Associate Professor,2018-01-22 21:24:37,Awaiting Response,2005-09-11 20:15:58,Not Qualified
68,Rejection,Assistant Professor,2012-10-01 02:28:01,Awaiting Response,2016-12-17 12:17:13,Incomplete Application
69,Offer,Associate Professor,2010-04-07 23:31:13,Awaiting Response,2002-06-07 18:20:34,Incomplete Application
70,Rejection,Associate Professor,2001-01-03 02:48:37,Awaiting Response,2017-11-19 13:03:15,Position Filled
71,Rejection,Associate Professor,2012-11-21 23:55:23,Awaiting Response,2015-12-26 23:31:06,Position Filled
72,Offer,Assistant Professor,2010-02-16 13:03:41,Awaiting Response,2004-02-18 02:43:54,Incomplete Application
73,Offer,Assistant Professor,2007-04-08 06:28:13,Awaiting Response,2010-12-12 09:30:12,Not Qualified
74,Rejection,Associate Professor,2013-11-06 01:57:54,Awaiting Response,2003-05-20 01:18:42,Not Qualified
75,Offer,Associate Professor,2003-03-22 13:01:10,Awaiting Response,2015-06-02 06:27:35,Not Qualified
76,Rejection,Professor,2006-06-10 01:11:36,Awaiting Response,2013-09-19 15:39:01,Incomplete Application
77,Offer,Associate Professor,2001-02-28 03:28:20,Awaiting Response,2013-05-10 13:17:09,Not Qualified
78,Rejection,Associate Professor,2017-02-07 13:16:45,Awaiting Response,2000-09-05 18:22:22,Incomplete Application
79,Rejection,Professor,2023-03-21 14:10:15,Awaiting Response,2008-11-26 22:08:48,Not Qualified
80,Offer,Associate Professor,2011-11-18 06:33:17,Awaiting Response,2006-04-25 14:09:53,Incomplete Application
81,Offer,Assistant Professor,2017-04-11 02:25:22,Awaiting Response,2016-10-26 19:39:45,Position Filled
82,Offer,Professor,2022-11-23 00:01:59,Awaiting Response,2008-04-18 03:09:41,Position Filled
83,Offer,Associate Professor,2000-08-25 20:47:57,Awaiting Response,2023-11-14 04:52:37,Position Filled
84,Rejection,Assistant Professor,2009-11-20 19:32:58,Awaiting Response,2021-01-17 16:20:10,Incomplete Application
85,Offer,Assistant Professor,2009-12-28 14:35:28,Awaiting Response,2004-06-02 13:45:58,Incomplete Application
86,Offer,Associate Professor,2004-09-15 14:09:05,Awaiting Response,2019-01-17 15:30:54,Not Qualified
87,Rejection,Professor,2007-02-27 04:31:44,Awaiting Response,2006-12-27 18:07:52,Incomplete Application
88,Rejection,Assistant Professor,2014-09-26 08:42:22,Awaiting Response,2020-04-03 06:10:40,Not Qualified
89,Offer,Assistant Professor,2004-02-07 21:26:40,Awaiting Response,2019-06-12 09:02:40,Incomplete Application
90,Offer,Professor,2005-05-21 15:57:22,Awaiting Response,2014-04-05 01:43:32,Not Qualified
91,Offer,Assistant Professor,2001-04-19 12:13:13,Awaiting Response,2011-02-13 13:57:56,Not Qualified
92,Rejection,Associate Professor,2013-05-19 23:01:18,Awaiting Response,2001-09-27 12:45:57,Not Qualified
93,Rejection,Assistant Professor,2003-02-09 15:20:15,Awaiting Response,2008-05-05 17:36:53,Position Filled
94,Rejection,Assistant Professor,2000-11-05 21:50:00,Awaiting Response,2018-11-05 23:01:22,Position Filled
95,Offer,Professor,2014-03-18 15:34:14,Awaiting Response,2014-10-25 09:17:12,Incomplete Application
96,Offer,Professor,2014-10-21 20:23:27,Awaiting Response,2016-01-13 12:11:06,Incomplete Application
97,Offer,Professor,2017-09-06 23:58:58,Awaiting Response,2019-11-10 08:26:38,Position Filled
98,Offer,Associate Professor,2001-04-26 10:57:24,Awaiting Response,2007-07-14 11:41:14,Not Qualified
99,Rejection,Professor,2020-04-13 17:46:01,Awaiting Response,2015-03-14 08:20:06,Position Filled
100,Rejection,Assistant Professor,2013-07-28 00:50:11,Awaiting Response,2015-09-26 12:07:33,Position Filled
101,Rejection,Associate Professor,2010-05-12 09:52:55,Awaiting Response,2000-02-04 17:07:42,Position Filled
102,Rejection,Associate Professor,2017-08-05 05:33:12,Awaiting Response,2023-05-10 12:26:38,Incomplete Application
103,Offer,Associate Professor,2022-08-26 04:17:00,Awaiting Response,2017-11-01 22:49:47,Position Filled
104,Rejection,Professor,2020-09-10 19:23:04,Awaiting Response,2012-04-26 10:09:07,Position Filled
105,Offer,Professor,2011-11-27 22:38:50,Awaiting Response,2009-03-18 04:32:19,Position Filled
106,Rejection,Associate Professor,2000-07-14 07:08:14,Awaiting Response,2009-12-02 12:49:51,Position Filled
107,Offer,Associate Professor,2007-02-03 06:49:39,Awaiting Response,2001-03-04 07:01:10,Not Qualified
108,Rejection,Professor,2019-07-05 07:43:51,Awaiting Response,2013-12-27 06:33:56,Not Qualified
109,Offer,Assistant Professor,2022-10-23 19:40:44,Awaiting Response,2020-10-16 18:19:34,Incomplete Application
110,Offer,Professor,2016-12-13 05:31:24,Awaiting Response,2005-12-19 03:38:37,Position Filled
111,Rejection,Associate Professor,2006-07-22 17:42:23,Awaiting Response,2010-10-12 11:53:00,Position Filled
112,Offer,Associate Professor,2021-02-11 17:54:08,Awaiting Response,2004-11-16 02:01:30,Not Qualified
113,Offer,Assistant Professor,2015-12-20 10:17:38,Awaiting Response,2010-08-03 22:29:36,Not Qualified
114,Offer,Professor,2005-01-20 15:29:57,Awaiting Response,2017-02-17 06:54:31,Position Filled
115,Rejection,Associate Professor,2009-07-17 19:45:44,Awaiting Response,2006-08-01 16:23:39,Not Qualified
116,Rejection,Associate Professor,2015-08-06 08:44:26,Awaiting Response,2002-01-05 11:46:52,Incomplete Application
117,Rejection,Assistant Professor,2011-06-12 02:45:55,Awaiting Response,2020-07-22 05:17:08,Position Filled
118,Rejection,Associate Professor,2016-06-28 19:34:56,Awaiting Response,2001-04-17 00:19:00,Position Filled
119,Offer,Assistant Professor,2012-10-20 16:36:21,Awaiting Response,2005-05-23 16:17:33,Not Qualified
120,Rejection,Associate Professor,2009-12-28 11:06:03,Awaiting Response,2005-03-09 12:34:18,Incomplete Application
121,Rejection,Associate Professor,2011-03-11 22:42:14,Awaiting Response,2010-08-06 00:39:21,Incomplete Application
122,Offer,Associate Professor,2015-05-03 15:07:19,Awaiting Response,2021-03-14 13:15:52,Incomplete Application
123,Offer,Assistant Professor,2020-10-15 06:31:11,Awaiting Response,2009-11-12 08:07:04,Not Qualified
124,Offer,Professor,2013-06-18 20:22:33,Awaiting Response,2019-01-07 13:37:49,Incomplete Application
125,Offer,Professor,2006-01-26 02:01:12,Awaiting Response,2004-02-11 17:59:44,Not Qualified
126,Offer,Associate Professor,2022-01-26 15:12:37,Awaiting Response,2003-05-19 00:07:07,Position Filled
127,Rejection,Assistant Professor,2020-10-12 14:30:25,Awaiting Response,2004-01-15 11:28:58,Position Filled
128,Offer,Associate Professor,2020-11-19 16:40:02,Awaiting Response,2019-08-12 00:33:59,Not Qualified
129,Offer,Associate Professor,2003-08-24 23:15:03,Awaiting Response,2000-03-03 00:21:01,Position Filled
130,Offer,Associate Professor,2019-12-02 05:46:54,Awaiting Response,2017-04-16 02:06:50,Not Qualified
131,Rejection,Assistant Professor,2012-04-24 16:29:00,Awaiting Response,2011-06-22 08:18:34,Not Qualified
132,Offer,Associate Professor,2018-02-18 10:19:15,Awaiting Response,2004-10-11 07:34:08,Position Filled
133,Offer,Professor,2002-08-27 05:24:49,Awaiting Response,2017-06-04 01:10:55,Not Qualified
134,Rejection,Professor,2008-12-07 03:58:02,Awaiting Response,2017-04-05 15:36:26,Incomplete Application
135,Offer,Assistant Professor,2012-05-24 16:40:32,Awaiting Response,2000-05-07 23:44:57,Position Filled
136,Rejection,Associate Professor,2017-07-09 13:03:42,Awaiting Response,2022-02-21 12:40:33,Position Filled
137,Offer,Professor,2016-12-10 23:27:45,Awaiting Response,2004-07-24 06:54:50,Not Qualified
138,Rejection,Associate Professor,2001-12-07 13:09:17,Awaiting Response,2017-05-01 23:15:38,Not Qualified
139,Offer,Associate Professor,2009-12-19 05:03:37,Awaiting Response,2009-05-05 22:58:52,Not Qualified
140,Offer,Associate Professor,2006-09-27 23:15:09,Awaiting Response,2023-09-23 18:12:05,Position Filled
141,Offer,Associate Professor,2021-10-15 01:52:53,Awaiting Response,2015-04-06 15:33:59,Incomplete Application
142,Rejection,Assistant Professor,2018-06-26 01:18:10,Awaiting Response,2019-04-27 17:58:20,Not Qualified
143,Rejection,Assistant Professor,2002-07-19 19:38:51,Awaiting Response,2003-07-03 20:15:17,Incomplete Application
144,Offer,Assistant Professor,2004-11-17 11:05:01,Awaiting Response,2007-02-23 16:09:23,Incomplete Application
145,Rejection,Professor,2005-03-12 00:40:42,Awaiting Response,2012-04-11 21:32:34,Not Qualified
146,Offer,Professor,2021-05-24 19:10:01,Awaiting Response,2001-03-18 00:10:43,Position Filled
147,Offer,Professor,2008-05-20 08:45:05,Awaiting Response,2009-10-25 10:05:19,Incomplete Application
148,Offer,Assistant Professor,2014-09-28 15:32:58,Awaiting Response,2008-01-07 19:24:37,Not Qualified
149,Offer,Professor,2008-10-06 05:37:49,Awaiting Response,2022-01-15 08:57:08,Position Filled
150,Offer,Assistant Professor,2022-08-22 06:37:47,Awaiting Response,2002-05-13 23:24:23,Not Qualified
151,Offer,Professor,2007-06-09 23:04:29,Awaiting Response,2000-10-20 17:21:37,Position Filled
152,Rejection,Assistant Professor,2020-05-12 02:39:54,Awaiting Response,2010-04-08 01:40:14,Incomplete Application
153,Offer,Assistant Professor,2006-11-28 17:44:12,Awaiting Response,2009-04-20 06:03:56,Position Filled
154,Offer,Assistant Professor,2019-12-27 02:38:43,Awaiting Response,2005-03-01 12:10:34,Incomplete Application
155,Offer,Professor,2015-04-24 04:26:26,Awaiting Response,2009-10-20 22:14:43,Incomplete Application
156,Offer,Associate Professor,2017-01-14 15:50:07,Awaiting Response,2015-11-18 10:24:18,Incomplete Application
157,Offer,Professor,2004-08-24 11:58:45,Awaiting Response,2001-06-05 15:13:48,Not Qualified
158,Rejection,Professor,2016-02-10 22:29:47,Awaiting Response,2012-05-27 06:34:45,Not Qualified
159,Rejection,Assistant Professor,2019-03-14 14:05:39,Awaiting Response,2003-11-06 01:42:36,Position Filled
160,Rejection,Associate Professor,2023-10-14 03:49:26,Awaiting Response,2006-12-05 02:05:11,Incomplete Application
161,Offer,Associate Professor,2010-02-04 23:55:30,Awaiting Response,2022-02-09 18:24:23,Not Qualified
162,Offer,Professor,2020-10-27 00:15:04,Awaiting Response,2006-10-21 05:07:48,Not Qualified
163,Offer,Professor,2021-01-27 11:19:14,Awaiting Response,2004-04-04 07:04:58,Not Qualified
164,Rejection,Professor,2016-04-05 00:02:50,Awaiting Response,2003-10-23 22:40:41,Not Qualified
165,Rejection,Associate Professor,2006-11-26 20:36:23,Awaiting Response,2023-08-22 06:26:16,Incomplete Application
166,Rejection,Professor,2003-01-21 19:28:49,Awaiting Response,2013-04-17 00:29:43,Incomplete Application
167,Offer,Associate Professor,2016-08-10 05:30:00,Awaiting Response,2022-05-03 01:55:35,Incomplete Application
168,Offer,Assistant Professor,2014-12-21 23:17:32,Awaiting Response,2002-02-21 18:43:41,Not Qualified
169,Rejection,Assistant Professor,2003-12-14 13:36:54,Awaiting Response,2001-01-24 00:01:04,Position Filled
170,Rejection,Professor,2020-02-11 15:20:42,Awaiting Response,2021-04-08 17:10:40,Not Qualified
171,Rejection,Professor,2019-12-10 17:17:04,Awaiting Response,2017-11-06 00:41:46,Not Qualified
172,Rejection,Associate Professor,2016-12-21 15:47:31,Awaiting Response,2008-08-14 00:55:21,Position Filled
173,Offer,Assistant Professor,2006-08-23 23:02:17,Awaiting Response,2018-07-22 22:38:43,Incomplete Application
174,Rejection,Professor,2011-11-28 11:31:35,Awaiting Response,2015-02-13 19:35:30,Incomplete Application
175,Rejection,Associate Professor,2017-02-18 23:23:22,Awaiting Response,2011-12-24 21:24:05,Not Qualified
176,Offer,Associate Professor,2018-11-11 07:27:51,Awaiting Response,2001-10-08 14:33:12,Incomplete Application
177,Offer,Associate Professor,2004-07-04 12:51:30,Awaiting Response,2006-06-03 20:36:20,Position Filled
178,Offer,Assistant Professor,2000-11-17 05:28:53,Awaiting Response,2010-11-04 11:49:41,Not Qualified
179,Rejection,Associate Professor,2020-02-02 05:14:01,Awaiting Response,2017-09-20 15:29:50,Incomplete Application
180,Offer,Professor,2020-11-12 23:51:55,Awaiting Response,2018-06-07 06:58:01,Not Qualified
181,Rejection,Associate Professor,2008-04-23 07:04:49,Awaiting Response,2004-08-03 20:36:29,Position Filled
182,Rejection,Professor,2008-10-17 03:24:23,Awaiting Response,2003-06-04 00:42:51,Incomplete Application
183,Offer,Professor,2004-11-17 23:16:47,Awaiting Response,2023-11-08 15:52:30,Position Filled
184,Offer,Associate Professor,2011-11-20 13:17:10,Awaiting Response,2007-03-02 22:44:32,Incomplete Application
185,Offer,Assistant Professor,2011-05-15 14:32:50,Awaiting Response,2010-01-22 02:34:00,Position Filled
186,Offer,Professor,2023-12-26 05:48:09,Awaiting Response,2008-05-13 08:04:26,Not Qualified
187,Rejection,Assistant Professor,2019-08-13 06:52:25,Awaiting Response,2019-05-21 20:08:55,Not Qualified
188,Offer,Associate Professor,2017-02-03 09:15:34,Awaiting Response,2012-05-12 01:57:17,Position Filled
189,Offer,Professor,2003-09-18 04:54:13,Awaiting Response,2008-11-07 09:02:41,Position Filled
190,Rejection,Professor,2013-10-01 09:20:52,Awaiting Response,2012-03-17 20:41:48,Incomplete Application
191,Rejection,Professor,2010-05-23 03:32:14,Awaiting Response,2010-05-05 10:22:04,Incomplete Application
192,Rejection,Professor,2017-06-18 11:36:46,Awaiting Response,2011-03-21 20:31:29,Incomplete Application
193,Rejection,Associate Professor,2009-05-22 08:36:08,Awaiting Response,2001-11-06 06:43:35,Incomplete Application
194,Offer,Professor,2000-09-21 23:35:36,Awaiting Response,2005-02-28 22:55:26,Not Qualified
195,Rejection,Professor,2017-06-25 11:27:16,Awaiting Response,2022-08-12 15:23:20,Not Qualified
196,Offer,Professor,2002-02-09 14:46:09,Awaiting Response,2007-07-03 03:21:00,Incomplete Application
197,Rejection,Professor,2008-06-22 19:08:45,Awaiting Response,2020-03-21 14:38:00,Position Filled
198,Offer,Associate Professor,2020-05-07 09:53:52,Awaiting Response,2008-01-09 00:54:40,Incomplete Application
199,Offer,Assistant Professor,2009-10-06 07:27:34,Awaiting Response,2004-04-04 21:02:52,Not Qualified
200,Rejection,Assistant Professor,2011-09-02 22:55:43,Awaiting Response,2011-05-21 09:35:07,Position Filled
201,Offer,Assistant Professor,2006-01-13 00:04:27,Awaiting Response,2015-02-08 05:11:38,Not Qualified
202,Rejection,Assistant Professor,2021-12-09 13:15:51,Awaiting Response,2003-02-12 08:19:36,Incomplete Application
203,Offer,Assistant Professor,2014-06-23 14:51:01,Awaiting Response,2019-08-28 01:47:39,Incomplete Application
204,Offer,Assistant Professor,2009-08-27 18:07:52,Awaiting Response,2008-11-16 04:35:19,Not Qualified
205,Rejection,Professor,2002-10-21 23:05:13,Awaiting Response,2022-11-13 14:18:46,Position Filled
206,Rejection,Assistant Professor,2006-11-14 07:13:11,Awaiting Response,2006-01-23 08:44:16,Position Filled
207,Rejection,Associate Professor,2013-04-05 05:06:41,Awaiting Response,2018-04-19 05:07:09,Position Filled
208,Offer,Associate Professor,2020-11-11 12:23:58,Awaiting Response,2010-02-27 12:25:24,Not Qualified
209,Offer,Associate Professor,2019-08-02 06:58:27,Awaiting Response,2013-12-15 06:13:53,Not Qualified
210,Offer,Associate Professor,2010-10-20 05:39:51,Awaiting Response,2012-09-12 14:59:47,Incomplete Application
211,Offer,Associate Professor,2023-06-26 14:02:16,Awaiting Response,2009-01-25 23:37:44,Not Qualified
212,Offer,Assistant Professor,2000-07-24 09:34:57,Awaiting Response,2012-04-24 07:10:06,Position Filled
213,Offer,Professor,2015-08-05 09:15:05,Awaiting Response,2009-10-13 04:37:10,Incomplete Application
214,Rejection,Assistant Professor,2009-11-18 14:05:08,Awaiting Response,2002-11-04 03:22:31,Position Filled
215,Offer,Associate Professor,2007-11-18 22:58:05,Awaiting Response,2011-04-20 14:14:11,Incomplete Application
216,Offer,Associate Professor,2019-11-02 22:40:21,Awaiting Response,2018-06-07 09:36:04,Position Filled
217,Rejection,Assistant Professor,2003-05-08 05:43:09,Awaiting Response,2009-08-12 11:42:57,Position Filled
218,Rejection,Professor,2002-01-06 19:28:26,Awaiting Response,2010-04-18 08:18:06,Not Qualified
219,Rejection,Assistant Professor,2021-05-27 23:21:04,Awaiting Response,2001-05-16 20:02:47,Incomplete Application
220,Offer,Assistant Professor,2021-05-26 20:46:01,Awaiting Response,2005-01-21 09:56:57,Position Filled
221,Offer,Associate Professor,2013-05-16 01:04:49,Awaiting Response,2009-11-02 01:32:16,Incomplete Application
222,Offer,Assistant Professor,2020-10-18 11:22:42,Awaiting Response,2017-09-15 10:36:45,Position Filled
223,Rejection,Associate Professor,2010-05-02 08:25:33,Awaiting Response,2007-09-06 15:13:03,Position Filled
224,Offer,Assistant Professor,2021-03-02 05:08:18,Awaiting Response,2007-07-11 21:38:27,Not Qualified
225,Offer,Associate Professor,2013-06-06 12:15:22,Awaiting Response,2005-05-11 00:55:08,Position Filled
226,Rejection,Assistant Professor,2003-10-17 23:40:31,Awaiting Response,2004-04-13 15:35:19,Position Filled
227,Rejection,Associate Professor,2004-07-03 01:57:54,Awaiting Response,2015-01-24 19:13:38,Not Qualified
228,Offer,Professor,2001-07-04 20:35:38,Awaiting Response,2018-03-12 13:23:17,Not Qualified
229,Rejection,Assistant Professor,2005-11-01 18:29:47,Awaiting Response,2022-02-13 23:22:00,Not Qualified
230,Rejection,Professor,2021-11-28 08:30:52,Awaiting Response,2009-01-07 05:07:02,Incomplete Application
231,Rejection,Professor,2011-02-18 00:37:22,Awaiting Response,2005-01-04 10:39:06,Incomplete Application
232,Offer,Professor,2003-01-19 05:43:15,Awaiting Response,2014-02-17 07:26:36,Position Filled
233,Rejection,Assistant Professor,2021-09-18 22:19:34,Awaiting Response,2015-07-28 06:05:23,Not Qualified
234,Rejection,Professor,2002-11-20 13:32:37,Awaiting Response,2003-03-26 20:52:55,Incomplete Application
235,Offer,Associate Professor,2021-06-15 00:25:03,Awaiting Response,2008-01-25 04:54:33,Not Qualified
236,Rejection,Professor,2017-06-17 07:15:42,Awaiting Response,2012-12-03 04:59:24,Not Qualified
237,Offer,Associate Professor,2014-08-27 03:26:46,Awaiting Response,2006-11-13 22:18:39,Position Filled
238,Offer,Assistant Professor,2013-08-24 14:16:47,Awaiting Response,2005-08-12 13:34:43,Position Filled
239,Offer,Associate Professor,2012-11-18 13:55:47,Awaiting Response,2015-03-20 17:27:09,Position Filled
240,Offer,Associate Professor,2023-02-27 20:44:20,Awaiting Response,2010-02-25 15:13:56,Not Qualified
241,Rejection,Professor,2013-05-12 07:35:03,Awaiting Response,2018-11-03 11:03:22,Position Filled
242,Offer,Assistant Professor,2002-03-27 21:19:29,Awaiting Response,2010-08-22 04:02:11,Not Qualified
243,Rejection,Professor,2007-08-08 14:00:07,Awaiting Response,2021-03-06 06:31:49,Not Qualified
244,Rejection,Assistant Professor,2015-12-03 05:08:53,Awaiting Response,2012-06-10 20:51:03,Not Qualified
245,Offer,Professor,2012-04-01 14:39:46,Awaiting Response,2022-03-08 09:44:53,Incomplete Application
246,Offer,Assistant Professor,2001-07-14 04:10:39,Awaiting Response,2010-12-09 11:42:32,Incomplete Application
247,Offer,Associate Professor,2000-12-10 04:49:52,Awaiting Response,2007-07-15 23:44:24,Incomplete Application
248,Rejection,Professor,2018-10-28 01:51:18,Awaiting Response,2020-10-11 04:23:28,Not Qualified
249,Offer,Associate Professor,2021-08-20 06:09:10,Awaiting Response,2011-12-28 12:08:59,Position Filled
250,Rejection,Assistant Professor,2009-08-01 05:23:01,Awaiting Response,2009-07-06 06:07:47,Incomplete Application
251,Offer,Associate Professor,2013-03-16 17:00:36,Awaiting Response,2010-04-22 09:08:52,Not Qualified
252,Rejection,Assistant Professor,2012-10-17 13:31:09,Awaiting Response,2004-05-02 06:59:33,Not Qualified
253,Rejection,Professor,2021-06-24 02:38:32,Awaiting Response,2004-11-02 00:04:45,Incomplete Application
254,Rejection,Assistant Professor,2001-11-06 11:49:51,Awaiting Response,2023-08-27 00:02:27,Position Filled
255,Offer,Associate Professor,2023-01-16 15:04:02,Awaiting Response,2012-02-16 03:23:39,Incomplete Application
256,Rejection,Professor,2002-09-20 06:54:17,Awaiting Response,2006-07-01 15:00:22,Not Qualified
257,Rejection,Assistant Professor,2020-02-07 22:56:27,Awaiting Response,2023-01-15 12:46:10,Position Filled
