name,abbreviation,max_faculty_capacity,current_number_of_faculty,academic_division
Physics,MATH,83,9,Engineering
Physics,MATH,31,19,Arts
Computer Science,MATH,22,12,Science
Physics,CS,82,7,Arts
Mathematics,MATH,45,9,Engineering
Physics,CS,93,10,Engineering
Computer Science,CS,22,9,Science
Physics,MATH,77,5,Science
Mathematics,PHYS,59,11,Science
Physics,CS,69,8,Science
Physics,CS,24,6,Arts
Computer Science,PHYS,74,12,Science
Computer Science,MATH,74,14,Science
Physics,PHYS,37,10,Engineering
Physics,CS,42,20,Science
Mathematics,CS,89,20,Engineering
Computer Science,PHYS,27,19,Engineering
Physics,PHYS,94,7,Engineering
Mathematics,PHYS,80,6,Arts
Mathematics,PHYS,39,16,Engineering
Mathematics,CS,71,18,Science
Physics,PHYS,20,20,Arts
Mathematics,PHYS,99,14,Science
Mathematics,CS,42,8,Science
Computer Science,PHYS,99,9,Arts
Computer Science,MATH,92,9,Arts
Mathematics,PHYS,25,10,Arts
Mathematics,MATH,86,18,Science
Mathematics,PHYS,72,20,Arts
Mathematics,CS,27,17,Engineering
Physics,MATH,42,16,Engineering
Computer Science,CS,67,17,Engineering
Computer Science,MATH,41,10,Science
Physics,MATH,75,9,Science
Physics,CS,98,18,Arts
Mathematics,CS,48,19,Science
Physics,MATH,40,10,Arts
Computer Science,MATH,56,10,Science
Physics,PHYS,45,6,Arts
Mathematics,PHYS,49,20,Engineering
Computer Science,CS,49,9,Engineering
Mathematics,MATH,38,12,Arts
Mathematics,PHYS,26,12,Science
Computer Science,PHYS,27,15,Engineering
Physics,CS,41,20,Science
Mathematics,PHYS,96,13,Science
Physics,PHYS,22,9,Engineering
Physics,CS,84,6,Engineering
Computer Science,CS,83,20,Engineering
Mathematics,MATH,100,15,Engineering
Mathematics,PHYS,62,7,Arts
Physics,CS,59,18,Arts
Computer Science,PHYS,63,11,Engineering
Physics,MATH,79,13,Science
Mathematics,CS,92,20,Engineering
Mathematics,CS,64,7,Arts
Mathematics,PHYS,49,14,Science
Mathematics,CS,79,12,Arts
Physics,MATH,68,9,Engineering
Mathematics,MATH,56,6,Engineering
Physics,CS,68,15,Arts
Computer Science,PHYS,73,14,Engineering
Physics,MATH,75,8,Arts
Mathematics,MATH,98,18,Arts
Computer Science,CS,28,12,Arts
Physics,PHYS,49,10,Engineering
Computer Science,MATH,94,8,Science
Computer Science,PHYS,35,17,Science
Mathematics,MATH,29,20,Engineering
Computer Science,MATH,45,14,Science
Mathematics,MATH,37,11,Arts
Physics,MATH,70,5,Arts
Computer Science,PHYS,67,19,Arts
Physics,CS,60,13,Science
Mathematics,PHYS,65,12,Engineering
Computer Science,PHYS,51,6,Science
Mathematics,CS,100,14,Science
Mathematics,PHYS,25,20,Arts
Mathematics,CS,42,17,Engineering
Physics,MATH,65,7,Arts
Physics,MATH,75,9,Arts
Physics,MATH,100,20,Arts
Physics,MATH,53,14,Arts
Computer Science,CS,70,12,Science
Mathematics,PHYS,26,14,Engineering
Mathematics,PHYS,93,11,Science
Mathematics,CS,62,12,Arts
Physics,MATH,21,9,Science
Physics,PHYS,44,9,Engineering
Computer Science,CS,56,11,Science
Computer Science,MATH,74,17,Arts
Physics,CS,31,14,Engineering
Mathematics,MATH,59,15,Science
Physics,PHYS,37,19,Science
Computer Science,CS,93,19,Science
Computer Science,MATH,20,11,Science
Physics,PHYS,27,12,Arts
Mathematics,CS,82,11,Engineering
Physics,MATH,64,7,Engineering
Mathematics,MATH,88,17,Arts
Physics,CS,56,17,Science
Mathematics,MATH,90,6,Arts
Mathematics,MATH,44,14,Engineering
Computer Science,CS,31,20,Arts
Mathematics,MATH,82,16,Arts
Physics,CS,87,11,Arts
Physics,MATH,23,11,Engineering
Mathematics,MATH,89,5,Arts
Computer Science,MATH,56,16,Engineering
Mathematics,PHYS,63,18,Science
Mathematics,PHYS,74,12,Arts
Computer Science,CS,80,12,Science
Physics,CS,74,18,Arts
Mathematics,PHYS,31,6,Arts
Computer Science,CS,82,6,Science
Physics,CS,77,16,Science
Physics,CS,52,16,Arts
Computer Science,MATH,23,5,Arts
Physics,MATH,22,10,Arts
Computer Science,MATH,38,18,Science
Computer Science,CS,79,14,Engineering
Physics,PHYS,61,5,Arts
Physics,CS,44,19,Arts
Mathematics,MATH,90,16,Arts
Computer Science,CS,74,5,Arts
Mathematics,CS,33,7,Science
Mathematics,PHYS,99,13,Arts
Computer Science,MATH,45,7,Engineering
Mathematics,MATH,83,5,Engineering
Computer Science,PHYS,61,5,Engineering
Physics,PHYS,61,16,Arts
Physics,MATH,59,20,Engineering
Computer Science,CS,57,18,Arts
Mathematics,MATH,78,6,Arts
Mathematics,MATH,48,9,Arts
Physics,PHYS,24,19,Science
Mathematics,CS,33,20,Engineering
Computer Science,MATH,28,18,Arts
Computer Science,MATH,99,14,Engineering
Mathematics,PHYS,41,18,Arts
Physics,PHYS,66,5,Engineering
Mathematics,PHYS,51,11,Science
Computer Science,MATH,58,14,Science
Physics,MATH,37,10,Arts
Computer Science,PHYS,83,20,Engineering
Mathematics,PHYS,58,10,Engineering
Mathematics,PHYS,93,6,Science
Mathematics,PHYS,41,6,Science
Computer Science,CS,94,7,Science
Mathematics,MATH,26,15,Science
Physics,CS,29,20,Engineering
Computer Science,PHYS,47,5,Arts
Computer Science,CS,52,11,Engineering
Physics,CS,49,11,Engineering
Computer Science,CS,75,16,Engineering
Mathematics,MATH,95,8,Engineering
Physics,PHYS,94,5,Science
Mathematics,PHYS,89,12,Science
Physics,CS,92,7,Science
Mathematics,PHYS,41,13,Arts
Mathematics,CS,50,13,Arts
Mathematics,MATH,73,16,Engineering
Physics,PHYS,50,9,Engineering
Computer Science,CS,40,19,Arts
Mathematics,MATH,81,9,Arts
Mathematics,PHYS,69,16,Engineering
Mathematics,MATH,85,9,Arts
Physics,PHYS,33,8,Engineering
Computer Science,MATH,38,20,Engineering
Computer Science,MATH,69,9,Arts
Computer Science,CS,25,6,Engineering
Mathematics,MATH,81,17,Engineering
Computer Science,CS,38,9,Arts
Mathematics,PHYS,79,13,Engineering
Mathematics,MATH,86,13,Science
Computer Science,PHYS,61,7,Arts
Physics,CS,77,13,Engineering
Physics,PHYS,36,10,Science
Mathematics,CS,66,7,Science
Physics,CS,87,6,Science
Mathematics,CS,33,13,Engineering
Physics,PHYS,68,10,Engineering
Mathematics,CS,47,17,Engineering
Computer Science,PHYS,38,7,Science
Physics,MATH,38,10,Science
Computer Science,PHYS,86,14,Arts
Computer Science,CS,86,6,Arts
Physics,PHYS,38,12,Arts
Physics,MATH,72,12,Arts
Computer Science,MATH,41,10,Science
Computer Science,CS,81,5,Arts
Computer Science,CS,31,20,Arts
Mathematics,PHYS,47,14,Arts
Computer Science,PHYS,21,15,Engineering
Mathematics,MATH,44,12,Engineering
Computer Science,MATH,81,16,Engineering
Mathematics,MATH,53,13,Science
Physics,MATH,92,17,Engineering
Mathematics,MATH,54,8,Science
Physics,PHYS,61,15,Science
Mathematics,PHYS,43,11,Arts
Computer Science,MATH,79,6,Engineering
Physics,CS,61,11,Arts
Physics,PHYS,96,20,Arts
Physics,PHYS,62,13,Arts
Physics,PHYS,49,14,Engineering
Mathematics,MATH,72,9,Arts
Physics,MATH,31,15,Science
Physics,PHYS,69,10,Arts
Computer Science,MATH,95,20,Science
Computer Science,CS,26,19,Engineering
Physics,CS,87,13,Engineering
Computer Science,PHYS,30,20,Engineering
Mathematics,CS,28,8,Arts
Computer Science,PHYS,74,7,Science
Physics,MATH,56,11,Arts
Computer Science,PHYS,54,9,Science
Physics,PHYS,64,18,Science
Mathematics,PHYS,87,20,Science
Computer Science,MATH,54,15,Science
Computer Science,CS,21,8,Science
Physics,CS,79,13,Engineering
Mathematics,PHYS,42,7,Arts
Physics,MATH,98,20,Science
Computer Science,PHYS,27,9,Science
Mathematics,MATH,73,6,Engineering
Computer Science,MATH,78,14,Science
Computer Science,MATH,35,7,Engineering
Computer Science,PHYS,65,18,Science
Computer Science,CS,63,5,Science
Mathematics,MATH,24,5,Arts
Physics,CS,95,14,Arts
Mathematics,PHYS,40,11,Science
Mathematics,MATH,53,8,Engineering
Mathematics,MATH,58,13,Arts
Computer Science,PHYS,85,11,Arts
Physics,CS,28,17,Engineering
Physics,PHYS,85,12,Science
Computer Science,PHYS,41,16,Arts
Computer Science,MATH,54,5,Arts
Physics,MATH,33,20,Arts
Computer Science,PHYS,69,18,Science
Physics,PHYS,52,11,Engineering
Mathematics,PHYS,47,5,Science
Computer Science,MATH,86,20,Arts
Computer Science,CS,73,16,Arts
Mathematics,MATH,56,16,Arts
Computer Science,MATH,46,5,Science
Physics,MATH,29,20,Engineering
Computer Science,CS,40,15,Arts
Physics,MATH,69,13,Arts
Physics,PHYS,60,20,Arts
Computer Science,PHYS,82,10,Science
Physics,CS,28,6,Engineering
Physics,MATH,98,8,Engineering
Physics,CS,20,6,Engineering
Computer Science,CS,68,5,Engineering
Physics,PHYS,67,16,Arts
Physics,CS,74,5,Engineering
Physics,MATH,74,17,Engineering
Computer Science,CS,96,5,Engineering
Physics,PHYS,40,5,Arts
Mathematics,CS,93,8,Science
Mathematics,MATH,26,5,Arts
Physics,PHYS,70,12,Arts
Mathematics,PHYS,81,7,Science
Mathematics,MATH,71,12,Arts
Physics,MATH,83,19,Engineering
Physics,CS,96,13,Engineering
Physics,PHYS,58,8,Engineering
Mathematics,MATH,60,8,Engineering
Mathematics,CS,81,17,Science
Physics,MATH,34,10,Engineering
Mathematics,CS,69,17,Engineering
Computer Science,CS,44,5,Science
Physics,PHYS,74,19,Science
Computer Science,CS,83,16,Science
Computer Science,PHYS,77,20,Arts
Computer Science,CS,62,19,Engineering
Computer Science,CS,76,16,Arts
Physics,CS,20,9,Engineering
Computer Science,MATH,48,6,Engineering
Physics,CS,97,19,Science
Computer Science,PHYS,86,18,Engineering
Computer Science,MATH,30,6,Engineering
Mathematics,CS,38,15,Science
Computer Science,CS,53,16,Science
Computer Science,CS,59,20,Science
Computer Science,MATH,94,7,Arts
Physics,PHYS,99,13,Arts
Mathematics,CS,72,19,Engineering
Computer Science,CS,35,8,Arts
Computer Science,CS,62,17,Science
Mathematics,CS,48,8,Engineering
Computer Science,PHYS,96,15,Arts
Physics,MATH,62,11,Arts
Physics,MATH,28,20,Engineering
Physics,MATH,52,7,Science
Computer Science,CS,22,18,Science
Physics,PHYS,47,10,Engineering
Mathematics,PHYS,68,7,Arts
Computer Science,CS,99,13,Arts
Computer Science,CS,50,9,Arts
Computer Science,CS,98,10,Arts
Physics,PHYS,73,5,Arts
Physics,CS,72,13,Engineering
Mathematics,MATH,71,20,Engineering
Mathematics,PHYS,85,7,Engineering
Computer Science,PHYS,93,12,Science
Computer Science,CS,92,17,Arts
Mathematics,MATH,70,17,Science
Mathematics,PHYS,86,10,Science
Physics,CS,59,12,Engineering
Physics,CS,32,8,Arts
Computer Science,CS,80,17,Science
Physics,PHYS,26,17,Science
Mathematics,MATH,78,7,Science
Mathematics,PHYS,32,13,Engineering
Physics,MATH,99,14,Arts
Physics,MATH,78,6,Arts
Mathematics,MATH,58,5,Engineering
Physics,MATH,51,18,Science
Physics,CS,52,11,Science
Mathematics,MATH,56,14,Engineering
Mathematics,CS,29,17,Arts
Computer Science,PHYS,45,13,Science
Computer Science,MATH,47,8,Engineering
Computer Science,MATH,76,8,Arts
Physics,MATH,52,11,Arts
Mathematics,PHYS,20,13,Science
Mathematics,MATH,65,15,Science
Computer Science,PHYS,90,9,Arts
Computer Science,PHYS,47,15,Arts
Physics,CS,24,8,Science
Computer Science,PHYS,59,16,Science
Mathematics,CS,60,10,Arts
Computer Science,PHYS,75,6,Arts
Mathematics,PHYS,46,16,Arts
Mathematics,PHYS,82,13,Science
Mathematics,PHYS,32,5,Science
Physics,CS,36,9,Science
Computer Science,MATH,91,20,Science
Physics,PHYS,43,11,Science
Physics,PHYS,26,18,Engineering
Physics,PHYS,99,7,Engineering
Mathematics,CS,28,11,Science
Mathematics,MATH,98,9,Science
Mathematics,PHYS,31,5,Science
Mathematics,PHYS,53,5,Science
Mathematics,CS,52,18,Science
Physics,PHYS,54,9,Arts
Physics,CS,59,13,Arts
Physics,PHYS,90,10,Science
Physics,MATH,96,13,Arts
Mathematics,PHYS,46,15,Science
Mathematics,CS,75,6,Arts
Mathematics,CS,33,16,Engineering
Computer Science,CS,37,16,Engineering
Mathematics,PHYS,46,16,Science
Mathematics,CS,48,11,Engineering
Computer Science,MATH,93,18,Science
Mathematics,MATH,36,18,Arts
Computer Science,CS,23,15,Science
Computer Science,MATH,44,5,Science
Physics,CS,28,19,Science
Computer Science,CS,63,6,Science
Mathematics,PHYS,20,10,Science
Physics,CS,27,7,Arts
Physics,PHYS,70,19,Arts
Computer Science,CS,91,11,Arts
Physics,CS,23,9,Science
Mathematics,MATH,73,14,Science
Computer Science,PHYS,97,15,Engineering
Physics,MATH,43,7,Arts
Computer Science,PHYS,22,17,Arts
Physics,PHYS,27,10,Arts
Mathematics,PHYS,61,15,Engineering
Mathematics,PHYS,83,5,Engineering
Mathematics,CS,86,14,Science
Mathematics,MATH,72,13,Science
Mathematics,CS,93,15,Engineering
Physics,CS,78,14,Arts
Physics,MATH,79,20,Engineering
Physics,MATH,43,14,Engineering
Physics,CS,91,17,Engineering
Mathematics,CS,21,6,Engineering
Computer Science,MATH,62,6,Arts
Physics,MATH,26,15,Engineering
Computer Science,PHYS,45,20,Science
Mathematics,MATH,61,19,Science
Computer Science,CS,65,8,Engineering
Computer Science,MATH,57,20,Engineering
Physics,MATH,91,19,Arts
Physics,MATH,80,20,Science
Computer Science,MATH,35,15,Arts
Computer Science,CS,82,5,Engineering
Mathematics,MATH,76,19,Science
Physics,CS,78,17,Science
Mathematics,CS,65,20,Science
Computer Science,PHYS,30,16,Arts
Mathematics,CS,65,19,Arts
Computer Science,CS,90,6,Arts
Physics,CS,42,13,Science
Mathematics,PHYS,48,13,Science
Computer Science,MATH,61,12,Engineering
Physics,MATH,44,9,Engineering
Mathematics,PHYS,69,14,Engineering
Mathematics,PHYS,57,13,Arts
Physics,CS,92,14,Arts
Computer Science,PHYS,95,13,Science
Mathematics,MATH,54,17,Engineering
Computer Science,MATH,35,19,Engineering
Physics,MATH,66,7,Science
Physics,MATH,34,9,Engineering
Computer Science,PHYS,74,8,Arts
Computer Science,CS,98,5,Arts
Physics,CS,45,8,Arts
Computer Science,PHYS,34,11,Arts
Mathematics,CS,97,14,Engineering
Computer Science,CS,72,12,Engineering
Mathematics,PHYS,79,6,Science
Computer Science,MATH,32,8,Science
Computer Science,PHYS,50,5,Engineering
Computer Science,PHYS,89,10,Science
Mathematics,MATH,36,20,Arts
Physics,CS,97,5,Engineering
Computer Science,MATH,68,19,Engineering
Physics,MATH,32,5,Arts
Physics,MATH,86,15,Science
Computer Science,MATH,26,19,Science
Mathematics,MATH,40,10,Arts
Computer Science,CS,69,9,Science
Physics,CS,80,7,Engineering
Mathematics,PHYS,50,19,Science
Computer Science,CS,91,14,Arts
Mathematics,MATH,36,11,Science
Mathematics,CS,38,10,Engineering
Computer Science,MATH,97,11,Science
Mathematics,PHYS,48,6,Arts
Computer Science,MATH,43,15,Science
Physics,MATH,81,7,Engineering
Physics,PHYS,89,11,Engineering
Computer Science,CS,65,6,Arts
Mathematics,CS,38,6,Arts
Computer Science,PHYS,88,20,Science
Mathematics,CS,60,15,Arts
Physics,MATH,24,11,Science
Mathematics,CS,28,20,Engineering
Mathematics,CS,31,5,Arts
Mathematics,PHYS,36,18,Arts
Computer Science,PHYS,96,8,Arts
Computer Science,CS,42,10,Engineering
Computer Science,CS,89,17,Engineering
Mathematics,MATH,22,11,Engineering
Computer Science,MATH,91,5,Engineering
Mathematics,PHYS,45,19,Engineering
Physics,MATH,27,9,Engineering
Mathematics,MATH,98,15,Engineering
Mathematics,CS,36,14,Engineering
Mathematics,CS,84,14,Science
Computer Science,PHYS,53,9,Engineering
Mathematics,CS,97,20,Arts
Mathematics,MATH,20,12,Engineering
Physics,MATH,25,17,Arts
Mathematics,PHYS,85,20,Arts
Mathematics,CS,69,13,Engineering
Physics,PHYS,22,17,Engineering
Mathematics,PHYS,32,6,Engineering
Physics,PHYS,23,10,Engineering
Physics,PHYS,29,12,Engineering
Computer Science,CS,26,19,Engineering
Mathematics,PHYS,54,8,Arts
Mathematics,PHYS,22,13,Engineering
Physics,MATH,43,20,Engineering
Physics,CS,58,6,Arts
Computer Science,CS,93,13,Arts
Computer Science,CS,99,8,Arts
Computer Science,CS,66,19,Engineering
Mathematics,CS,73,6,Engineering
Mathematics,PHYS,27,11,Science
Physics,PHYS,34,10,Science
Computer Science,MATH,24,19,Engineering
Physics,CS,58,18,Engineering
Computer Science,MATH,49,19,Arts
Computer Science,PHYS,37,9,Science
Computer Science,PHYS,94,10,Science
Physics,PHYS,84,8,Science
Computer Science,MATH,64,19,Science
Mathematics,PHYS,95,20,Engineering
Physics,CS,97,9,Science
Computer Science,CS,54,14,Science
Computer Science,PHYS,52,10,Arts
Computer Science,PHYS,37,7,Engineering
Mathematics,MATH,45,10,Engineering
Computer Science,PHYS,67,11,Engineering
Computer Science,CS,31,20,Engineering
Physics,PHYS,56,20,Science
Mathematics,CS,92,16,Science
Physics,MATH,77,14,Engineering
Physics,MATH,81,14,Science
Mathematics,CS,22,14,Engineering
Physics,CS,90,14,Arts
Computer Science,PHYS,48,7,Engineering
Physics,MATH,94,17,Science
Mathematics,MATH,82,15,Science
Physics,MATH,72,12,Science
Mathematics,PHYS,93,10,Engineering
Physics,PHYS,90,8,Arts
Physics,MATH,57,8,Arts
Mathematics,PHYS,44,7,Arts
Physics,CS,79,20,Science
Computer Science,CS,34,14,Engineering
Computer Science,MATH,90,17,Science
Physics,PHYS,73,13,Science
Computer Science,MATH,34,13,Arts
Mathematics,MATH,25,10,Engineering
Physics,MATH,97,8,Science
Mathematics,CS,36,17,Engineering
Computer Science,MATH,21,12,Engineering
Mathematics,CS,74,5,Science
Computer Science,CS,46,12,Science
Mathematics,PHYS,32,9,Science
Computer Science,MATH,36,15,Arts
Computer Science,PHYS,39,8,Engineering
Mathematics,MATH,94,15,Engineering
Computer Science,PHYS,29,5,Engineering
Physics,CS,30,12,Arts
Physics,PHYS,20,5,Arts
Mathematics,CS,88,20,Arts
Computer Science,MATH,40,5,Science
Computer Science,MATH,44,17,Arts
Mathematics,MATH,96,6,Engineering
Mathematics,PHYS,80,9,Science
Computer Science,MATH,52,13,Engineering
Mathematics,PHYS,52,13,Arts
Mathematics,PHYS,65,11,Science
Physics,CS,57,20,Science
Physics,MATH,69,5,Arts
Computer Science,PHYS,71,6,Engineering
Physics,PHYS,86,15,Arts
Physics,CS,26,11,Arts
Computer Science,CS,52,7,Arts
Computer Science,CS,27,17,Science
Computer Science,PHYS,83,12,Arts
Computer Science,CS,92,17,Engineering
Physics,MATH,79,19,Arts
Physics,CS,28,19,Arts
Physics,MATH,20,10,Engineering
Physics,PHYS,51,5,Engineering
Computer Science,CS,90,11,Arts
Computer Science,PHYS,91,6,Engineering
Computer Science,CS,28,20,Engineering
Mathematics,MATH,43,9,Science
Physics,MATH,64,17,Engineering
Computer Science,CS,67,13,Engineering
Mathematics,PHYS,56,15,Arts
Physics,MATH,100,17,Engineering
Physics,PHYS,70,14,Arts
Mathematics,MATH,32,19,Engineering
Physics,MATH,38,11,Engineering
Computer Science,MATH,66,5,Arts
Physics,MATH,84,9,Arts
Physics,PHYS,85,15,Arts
Physics,PHYS,98,14,Arts
Mathematics,PHYS,50,11,Science
Physics,PHYS,56,11,Arts
Computer Science,MATH,45,12,Science
Computer Science,MATH,91,11,Science
Physics,CS,64,16,Arts
Physics,PHYS,41,20,Science
Mathematics,CS,59,8,Arts
Computer Science,CS,27,5,Science
Mathematics,PHYS,52,14,Engineering
Physics,CS,52,13,Science
Computer Science,MATH,83,10,Science
Physics,PHYS,37,20,Arts
Mathematics,CS,98,8,Arts
Mathematics,MATH,81,16,Science
Physics,CS,51,7,Engineering
Computer Science,CS,42,16,Engineering
Mathematics,CS,51,16,Science
Computer Science,MATH,38,14,Science
Computer Science,CS,28,7,Science
Physics,PHYS,72,12,Engineering
Physics,MATH,73,18,Arts
Mathematics,PHYS,42,12,Arts
Physics,CS,29,7,Engineering
Computer Science,CS,32,11,Arts
Physics,CS,56,12,Engineering
Mathematics,PHYS,74,19,Science
Mathematics,PHYS,99,16,Science
Mathematics,PHYS,48,16,Engineering
Computer Science,MATH,24,12,Arts
Mathematics,PHYS,67,17,Science
Physics,PHYS,28,8,Science
Computer Science,MATH,47,13,Engineering
Physics,CS,85,14,Science
Computer Science,CS,81,18,Science
Mathematics,PHYS,42,12,Science
Physics,CS,100,11,Science
Mathematics,CS,44,14,Arts
Mathematics,MATH,55,10,Engineering
Physics,MATH,47,6,Science
Physics,MATH,100,20,Arts
Computer Science,MATH,58,7,Engineering
Physics,MATH,43,12,Arts
Mathematics,MATH,55,17,Engineering
Physics,CS,74,12,Arts
Mathematics,PHYS,38,16,Engineering
Mathematics,CS,33,20,Science
Computer Science,CS,60,9,Engineering
Physics,PHYS,78,13,Engineering
Physics,MATH,33,20,Engineering
Physics,MATH,35,11,Engineering
Computer Science,CS,68,14,Engineering
Mathematics,MATH,22,11,Engineering
Mathematics,PHYS,36,20,Engineering
Computer Science,PHYS,43,20,Engineering
Physics,PHYS,68,5,Arts
Physics,PHYS,37,7,Science
Mathematics,CS,97,8,Arts
Physics,CS,38,19,Science
Computer Science,CS,52,15,Engineering
Computer Science,MATH,52,18,Engineering
Physics,CS,34,16,Science
Computer Science,CS,32,15,Science
Physics,CS,34,10,Science
Computer Science,CS,98,8,Science
Physics,PHYS,66,7,Science
Physics,CS,75,6,Science
Mathematics,PHYS,49,10,Science
Mathematics,PHYS,33,6,Arts
Computer Science,MATH,63,7,Science
Computer Science,PHYS,37,6,Engineering
Physics,CS,87,16,Engineering
Physics,PHYS,76,8,Arts
Computer Science,PHYS,37,5,Engineering
Computer Science,PHYS,82,15,Engineering
Physics,CS,30,13,Arts
Computer Science,PHYS,81,10,Arts
Physics,MATH,66,8,Engineering
Computer Science,CS,95,12,Engineering
Physics,CS,32,6,Arts
Physics,PHYS,95,13,Arts
Computer Science,PHYS,54,13,Science
Computer Science,CS,81,16,Engineering
Computer Science,MATH,57,6,Science
Mathematics,CS,78,18,Science
Computer Science,MATH,22,17,Science
Physics,MATH,46,9,Arts
Physics,MATH,49,20,Engineering
Physics,MATH,56,14,Science
Mathematics,CS,20,11,Engineering
Mathematics,CS,64,12,Engineering
Physics,PHYS,37,17,Engineering
Computer Science,CS,99,6,Arts
Physics,MATH,53,15,Science
Physics,PHYS,70,11,Science
Mathematics,CS,66,7,Engineering
Mathematics,MATH,67,13,Arts
Mathematics,MATH,76,12,Science
Computer Science,CS,25,15,Engineering
Physics,PHYS,40,20,Engineering
Computer Science,PHYS,79,14,Arts
Physics,PHYS,57,9,Engineering
Mathematics,CS,25,11,Arts
Physics,PHYS,81,20,Science
Mathematics,CS,36,13,Engineering
Physics,CS,65,5,Science
Physics,CS,26,7,Arts
Mathematics,PHYS,94,17,Engineering
Physics,PHYS,56,6,Arts
Physics,MATH,78,18,Engineering
Physics,PHYS,69,11,Engineering
Mathematics,CS,100,6,Engineering
Physics,PHYS,100,14,Arts
Computer Science,PHYS,56,9,Science
Physics,CS,64,12,Arts
Computer Science,CS,35,20,Engineering
Mathematics,CS,81,7,Engineering
Computer Science,PHYS,38,20,Engineering
Mathematics,CS,90,18,Science
Mathematics,CS,97,13,Science
Mathematics,MATH,85,7,Arts
Mathematics,MATH,89,8,Science
Computer Science,PHYS,54,18,Engineering
Mathematics,CS,44,16,Science
Mathematics,MATH,39,13,Arts
Computer Science,MATH,36,11,Science
Computer Science,CS,66,14,Engineering
Computer Science,PHYS,41,16,Science
Physics,MATH,56,13,Arts
Computer Science,PHYS,99,11,Arts
Mathematics,PHYS,35,14,Engineering
Physics,CS,29,11,Engineering
